Batch	scan066
Evolution 600 336002	100%T Baseline Correction
R2 AFTER REP Cycle01	8-1-2024 13:56:45
nm	A
350,00	0,078
351,00	0,077
352,00	0,078
353,00	0,079
354,00	0,083
355,00	0,085
356,00	0,087
357,00	0,087
358,00	0,091
359,00	0,092
360,00	0,095
361,00	0,099
362,00	0,103
363,00	0,107
364,00	0,111
365,00	0,113
366,00	0,118
367,00	0,122
368,00	0,128
369,00	0,132
370,00	0,138
371,00	0,144
372,00	0,152
373,00	0,158
374,00	0,164
375,00	0,173
376,00	0,181
377,00	0,190
378,00	0,198
379,00	0,209
380,00	0,218
381,00	0,229
382,00	0,240
383,00	0,252
384,00	0,263
385,00	0,276
386,00	0,288
387,00	0,301
388,00	0,315
389,00	0,329
390,00	0,343
391,00	0,358
392,00	0,376
393,00	0,392
394,00	0,405
395,00	0,425
396,00	0,441
397,00	0,458
398,00	0,476
399,00	0,494
400,00	0,513
401,00	0,530
402,00	0,550
403,00	0,569
404,00	0,588
405,00	0,608
406,00	0,627
407,00	0,646
408,00	0,665
409,00	0,685
410,00	0,707
411,00	0,724
412,00	0,746
413,00	0,767
414,00	0,785
415,00	0,806
416,00	0,824
417,00	0,842
418,00	0,861
419,00	0,879
420,00	0,896
421,00	0,914
422,00	0,929
423,00	0,947
424,00	0,959
425,00	0,974
426,00	0,989
427,00	1,003
428,00	1,016
429,00	1,027
430,00	1,039
431,00	1,051
432,00	1,060
433,00	1,069
434,00	1,079
435,00	1,088
436,00	1,093
437,00	1,099
438,00	1,106
439,00	1,107
440,00	1,110
441,00	1,112
442,00	1,112
443,00	1,112
444,00	1,108
445,00	1,104
446,00	1,098
447,00	1,089
448,00	1,081
449,00	1,071
450,00	1,059
451,00	1,046
452,00	1,031
453,00	1,016
454,00	0,998
455,00	0,980
456,00	0,962
457,00	0,943
458,00	0,923
459,00	0,904
460,00	0,882
461,00	0,860
462,00	0,837
463,00	0,817
464,00	0,796
465,00	0,773
466,00	0,750
467,00	0,728
468,00	0,705
469,00	0,684
470,00	0,660
471,00	0,635
472,00	0,611
473,00	0,586
474,00	0,560
475,00	0,533
476,00	0,508
477,00	0,478
478,00	0,451
479,00	0,424
480,00	0,395
481,00	0,365
482,00	0,337
483,00	0,308
484,00	0,281
485,00	0,254
486,00	0,228
487,00	0,204
488,00	0,182
489,00	0,161
490,00	0,144
491,00	0,126
492,00	0,110
493,00	0,095
494,00	0,083
495,00	0,073
496,00	0,062
497,00	0,055
498,00	0,048
499,00	0,041
500,00	0,035
501,00	0,031
502,00	0,027
503,00	0,024
504,00	0,019
505,00	0,018
506,00	0,016
507,00	0,014
508,00	0,013
509,00	0,010
510,00	0,010
511,00	0,008
512,00	0,007
513,00	0,006
514,00	0,006
515,00	0,006
516,00	0,005
517,00	0,004
518,00	0,004
519,00	0,004
520,00	0,003
521,00	0,003
522,00	0,003
523,00	0,002
524,00	0,002
525,00	0,002
526,00	0,002
527,00	0,002
528,00	0,001
529,00	0,002
530,00	0,001
531,00	0,001
532,00	0,001
533,00	0,001
534,00	0,000
535,00	0,000
536,00	0,001
537,00	0,001
538,00	0,000
539,00	0,001
540,00	0,000
541,00	0,001
542,00	0,001
543,00	0,001
544,00	0,001
545,00	0,002
546,00	0,001
547,00	0,001
548,00	0,001
549,00	0,001
550,00	0,001
