Batch	scan064
Evolution 600 336002	100%T Baseline Correction
R2 BLANK REP 2UL IN 11ML Cycle01	8-1-2024 13:47:30
nm	A
350,00	0,126
351,00	0,126
352,00	0,127
353,00	0,129
354,00	0,131
355,00	0,137
356,00	0,139
357,00	0,139
358,00	0,144
359,00	0,147
360,00	0,151
361,00	0,155
362,00	0,160
363,00	0,167
364,00	0,171
365,00	0,177
366,00	0,185
367,00	0,191
368,00	0,200
369,00	0,205
370,00	0,215
371,00	0,224
372,00	0,234
373,00	0,244
374,00	0,254
375,00	0,268
376,00	0,279
377,00	0,294
378,00	0,307
379,00	0,321
380,00	0,338
381,00	0,354
382,00	0,372
383,00	0,389
384,00	0,407
385,00	0,427
386,00	0,446
387,00	0,469
388,00	0,491
389,00	0,512
390,00	0,536
391,00	0,560
392,00	0,585
393,00	0,612
394,00	0,637
395,00	0,667
396,00	0,694
397,00	0,722
398,00	0,751
399,00	0,781
400,00	0,811
401,00	0,843
402,00	0,874
403,00	0,904
404,00	0,935
405,00	0,970
406,00	1,001
407,00	1,033
408,00	1,065
409,00	1,094
410,00	1,127
411,00	1,161
412,00	1,199
413,00	1,231
414,00	1,259
415,00	1,297
416,00	1,324
417,00	1,353
418,00	1,383
419,00	1,409
420,00	1,437
421,00	1,464
422,00	1,489
423,00	1,511
424,00	1,535
425,00	1,554
426,00	1,575
427,00	1,596
428,00	1,612
429,00	1,628
430,00	1,644
431,00	1,657
432,00	1,667
433,00	1,681
434,00	1,688
435,00	1,699
436,00	1,705
437,00	1,711
438,00	1,715
439,00	1,717
440,00	1,722
441,00	1,721
442,00	1,721
443,00	1,716
444,00	1,709
445,00	1,705
446,00	1,695
447,00	1,685
448,00	1,672
449,00	1,657
450,00	1,637
451,00	1,622
452,00	1,596
453,00	1,575
454,00	1,549
455,00	1,523
456,00	1,496
457,00	1,466
458,00	1,437
459,00	1,407
460,00	1,375
461,00	1,341
462,00	1,310
463,00	1,278
464,00	1,243
465,00	1,209
466,00	1,174
467,00	1,140
468,00	1,106
469,00	1,071
470,00	1,035
471,00	0,999
472,00	0,960
473,00	0,921
474,00	0,880
475,00	0,838
476,00	0,797
477,00	0,752
478,00	0,709
479,00	0,666
480,00	0,621
481,00	0,575
482,00	0,530
483,00	0,485
484,00	0,442
485,00	0,400
486,00	0,359
487,00	0,321
488,00	0,286
489,00	0,254
490,00	0,224
491,00	0,197
492,00	0,172
493,00	0,151
494,00	0,131
495,00	0,115
496,00	0,099
497,00	0,085
498,00	0,075
499,00	0,065
500,00	0,056
501,00	0,049
502,00	0,042
503,00	0,037
504,00	0,031
505,00	0,028
506,00	0,025
507,00	0,021
508,00	0,019
509,00	0,016
510,00	0,015
511,00	0,014
512,00	0,012
513,00	0,009
514,00	0,010
515,00	0,009
516,00	0,008
517,00	0,006
518,00	0,005
519,00	0,006
520,00	0,005
521,00	0,005
522,00	0,005
523,00	0,003
524,00	0,003
525,00	0,004
526,00	0,003
527,00	0,002
528,00	0,002
529,00	0,003
530,00	0,002
531,00	0,002
532,00	0,001
533,00	0,001
534,00	0,001
535,00	0,001
536,00	0,002
537,00	0,002
538,00	0,001
539,00	0,001
540,00	0,000
541,00	0,001
542,00	0,000
543,00	0,000
544,00	0,001
545,00	0,002
546,00	0,001
547,00	0,001
548,00	0,001
549,00	0,001
550,00	0,001
